,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,42023,1610612752,NYK,New York Knicks,0042300111,2024-04-20,NYK vs. PHI,W,240,36,91,0.396,16,35,0.457,23,28,0.821,23,32,55,20,6,7,12,18,111,7,1
1,42023,1610612755,PHI,Philadelphia 76ers,0042300111,2024-04-20,PHI @ NYK,L,240,36,81,0.444,12,35,0.343,20,22,0.909,9,24,33,17,8,7,11,21,104,-7,1
2,42023,1610612739,CLE,Cleveland Cavaliers,0042300131,2024-04-20,CLE vs. ORL,W,240,36,81,0.444,8,30,0.267,17,21,0.81,10,44,54,21,9,4,18,21,97,14,1
3,42023,1610612753,ORL,Orlando Magic,0042300131,2024-04-20,ORL @ CLE,L,240,28,86,0.326,8,37,0.216,19,30,0.633,11,29,40,16,12,7,12,25,83,-14,1
4,42023,1610612743,DEN,Denver Nuggets,0042300151,2024-04-20,DEN vs. LAL,W,240,47,102,0.461,15,42,0.357,5,6,0.833,15,34,49,27,7,4,6,20,114,11,1
5,42023,1610612747,LAL,Los Angeles Lakers,0042300151,2024-04-20,LAL @ DEN,L,240,39,79,0.494,8,29,0.276,17,19,0.895,6,34,40,22,3,7,12,15,103,-11,1
6,42023,1610612750,MIN,Minnesota Timberwolves,0042300161,2024-04-20,MIN vs. PHX,W,240,44,88,0.5,12,32,0.375,20,22,0.909,13,39,52,26,8,2,15,24,120,25,1
7,42023,1610612756,PHX,Phoenix Suns,0042300161,2024-04-20,PHX @ MIN,L,240,33,75,0.44,9,28,0.321,20,25,0.8,3,25,28,16,9,6,15,19,95,-25,1
8,42023,1610612738,BOS,Boston Celtics,0042300101,2024-04-21,BOS vs. MIA,W,240,39,82,0.476,22,49,0.449,14,16,0.875,10,34,44,27,6,6,11,10,114,20,1
9,42023,1610612748,MIA,Miami Heat,0042300101,2024-04-21,MIA @ BOS,L,240,38,81,0.469,12,37,0.324,6,6,1.0,5,29,34,23,4,1,11,13,94,-20,1
10,42023,1610612749,MIL,Milwaukee Bucks,0042300121,2024-04-21,MIL vs. IND,W,240,41,87,0.471,14,37,0.378,13,13,1.0,5,42,47,21,5,5,12,22,109,15,1
11,42023,1610612754,IND,Indiana Pacers,0042300121,2024-04-21,IND @ MIL,L,240,36,91,0.396,8,38,0.211,14,21,0.667,14,36,50,20,4,5,13,16,94,-15,1
12,42023,1610612740,NOP,New Orleans Pelicans,0042300141,2024-04-21,NOP @ OKC,L,240,37,96,0.385,11,39,0.282,7,9,0.778,18,34,52,22,7,6,14,16,92,-2,1
