,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE
0,52023,202685,Jonas Valanciunas,1610612740,NOP,New Orleans Pelicans,0052300121,2024-04-16,NOP vs. LAL,L,20,1,7,0.143,0,1,0.0,2,2,1.0,3,7,10,1,0,0,0,2,4,-13,17.5,1
1,52023,203468,CJ McCollum,1610612740,NOP,New Orleans Pelicans,0052300121,2024-04-16,NOP vs. LAL,L,30,4,15,0.267,1,9,0.111,0,0,,1,2,3,6,0,0,2,2,9,-17,19.6,1
2,52023,1626204,Larry Nance Jr.,1610612740,NOP,New Orleans Pelicans,0052300121,2024-04-16,NOP vs. LAL,L,28,4,7,0.571,1,2,0.5,1,2,0.5,2,10,12,5,0,0,2,5,10,7,29.9,1
3,52023,1627742,Brandon Ingram,1610612740,NOP,New Orleans Pelicans,0052300121,2024-04-16,NOP vs. LAL,L,25,4,12,0.333,1,1,1.0,2,2,1.0,0,4,4,4,0,0,3,1,11,-16,18.8,1
4,52023,1629627,Zion Williamson,1610612740,NOP,New Orleans Pelicans,0052300121,2024-04-16,NOP vs. LAL,L,36,17,27,0.63,0,1,0.0,6,9,0.667,3,8,11,5,1,1,3,3,40,3,63.7,1
5,52023,1630529,Herbert Jones,1610612740,NOP,New Orleans Pelicans,0052300121,2024-04-16,NOP vs. LAL,L,35,4,7,0.571,2,4,0.5,0,0,,0,0,0,0,2,0,1,4,10,1,15.0,1
6,52023,1630530,Trey Murphy III,1610612740,NOP,New Orleans Pelicans,0052300121,2024-04-16,NOP vs. LAL,L,31,5,10,0.5,2,6,0.333,0,0,,0,4,4,2,1,1,0,1,12,8,25.8,1
7,52023,1630631,Jose Alvarado,1610612740,NOP,New Orleans Pelicans,0052300121,2024-04-16,NOP vs. LAL,L,25,4,7,0.571,2,5,0.4,0,0,,1,1,2,7,0,0,1,4,10,10,21.9,1
8,52023,1630700,Dyson Daniels,1610612740,NOP,New Orleans Pelicans,0052300121,2024-04-16,NOP vs. LAL,L,10,0,1,0.0,0,1,0.0,0,0,,0,4,4,0,0,0,0,1,0,-3,4.8,1
9,52023,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,0052300121,2024-04-16,LAL @ NOP,W,41,6,20,0.3,1,5,0.2,10,10,1.0,0,9,9,9,3,2,2,0,23,11,60.3,1
10,52023,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,0052300121,2024-04-16,LAL @ NOP,W,40,6,16,0.375,0,0,,8,10,0.8,6,9,15,0,1,3,3,4,20,-5,47.0,1
11,52023,203915,Spencer Dinwiddie,1610612747,LAL,Los Angeles Lakers,0052300121,2024-04-16,LAL @ NOP,W,5,0,3,0.0,0,2,0.0,0,0,,0,2,2,1,0,0,0,0,0,-9,3.9,1
12,52023,1626156,D'Angelo Russell,1610612747,LAL,Los Angeles Lakers,0052300121,2024-04-16,LAL @ NOP,W,37,7,14,0.5,5,11,0.455,2,2,1.0,0,0,0,6,1,1,1,3,21,16,35.0,1
13,52023,1627752,Taurean Prince,1610612747,LAL,Los Angeles Lakers,0052300121,2024-04-16,LAL @ NOP,W,22,2,7,0.286,2,6,0.333,0,0,,0,4,4,0,1,1,0,2,6,1,16.8,1
14,52023,1629060,Rui Hachimura,1610612747,LAL,Los Angeles Lakers,0052300121,2024-04-16,LAL @ NOP,W,33,5,6,0.833,2,2,1.0,1,2,0.5,0,1,1,1,1,0,0,2,13,-6,18.7,1
15,52023,1629216,Gabe Vincent,1610612747,LAL,Los Angeles Lakers,0052300121,2024-04-16,LAL @ NOP,W,18,3,6,0.5,2,4,0.5,1,1,1.0,0,4,4,1,1,0,0,0,9,0,18.3,1
16,52023,1629637,Jaxson Hayes,1610612747,LAL,Los Angeles Lakers,0052300121,2024-04-16,LAL @ NOP,W,8,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,0,0,2,8,3.2,1
17,52023,1630559,Austin Reaves,1610612747,LAL,Los Angeles Lakers,0052300121,2024-04-16,LAL @ NOP,W,36,5,11,0.455,2,5,0.4,4,4,1.0,0,5,5,6,0,0,2,1,16,4,29.0,1
18,52023,101108,Chris Paul,1610612744,GSW,Golden State Warriors,0052300131,2024-04-16,GSW @ SAC,L,18,1,3,0.333,1,2,0.5,0,0,,0,1,1,2,0,0,1,2,3,-15,6.2,1
19,52023,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,0052300131,2024-04-16,GSW @ SAC,L,36,8,16,0.5,3,7,0.429,3,3,1.0,1,3,4,2,2,1,6,0,22,-21,32.8,1
20,52023,202691,Klay Thompson,1610612744,GSW,Golden State Warriors,0052300131,2024-04-16,GSW @ SAC,L,32,0,10,0.0,0,6,0.0,0,0,,0,4,4,1,0,0,1,2,0,-12,5.3,1
21,52023,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0052300131,2024-04-16,GSW @ SAC,L,35,4,8,0.5,2,4,0.5,2,2,1.0,0,3,3,6,2,0,3,3,12,-22,27.6,1
22,52023,203952,Andrew Wiggins,1610612744,GSW,Golden State Warriors,0052300131,2024-04-16,GSW @ SAC,L,25,4,11,0.364,1,4,0.25,3,5,0.6,1,2,3,2,0,1,3,0,12,-25,18.6,1
23,52023,1626172,Kevon Looney,1610612744,GSW,Golden State Warriors,0052300131,2024-04-16,GSW @ SAC,L,9,1,2,0.5,0,0,,0,0,,1,4,5,1,0,0,0,4,2,1,9.5,1
24,52023,1630228,Jonathan Kuminga,1610612744,GSW,Golden State Warriors,0052300131,2024-04-16,GSW @ SAC,L,28,6,15,0.4,0,2,0.0,4,6,0.667,2,5,7,2,0,1,0,3,16,-22,30.4,1
25,52023,1630541,Moses Moody,1610612744,GSW,Golden State Warriors,0052300131,2024-04-16,GSW @ SAC,L,15,5,8,0.625,2,4,0.5,4,5,0.8,0,3,3,1,0,0,0,1,16,3,21.1,1
26,52023,1630586,Usman Garuba,1610612744,GSW,Golden State Warriors,0052300131,2024-04-16,GSW @ SAC,L,2,0,1,0.0,0,0,,0,0,,0,1,1,1,0,0,0,0,0,2,2.7,1
27,52023,1630611,Gui Santos,1610612744,GSW,Golden State Warriors,0052300131,2024-04-16,GSW @ SAC,L,2,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,2,1.2,1
28,52023,1631218,Trayce Jackson-Davis,1610612744,GSW,Golden State Warriors,0052300131,2024-04-16,GSW @ SAC,L,11,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,1,1,2,-10,2.2,1
