,GAME_ID,TEAM_ID,TEAM_CITY,TEAM_NAME,PERSON_ID,PLAYER_FIRST,PLAYER_LAST,IN_TIME_REAL,OUT_TIME_REAL,PLAYER_PTS,PT_DIFF,USG_PCT,h_a
8,0042200155,1610612763,Memphis,Grizzlies,1628415,Dillon,Brooks,14400.0,16650.0,3,-4.0,0.556,home
9,0042200155,1610612763,Memphis,Grizzlies,1628415,Dillon,Brooks,22320.0,27960.0,0,-7.0,0.118,home
10,0042200155,1610612763,Memphis,Grizzlies,1628991,Jaren,Jackson Jr.,0.0,4110.0,4,6.0,0.15,home
11,0042200155,1610612763,Memphis,Grizzlies,1628991,Jaren,Jackson Jr.,5930.0,9840.0,0,4.0,0.118,home
12,0042200155,1610612763,Memphis,Grizzlies,1628991,Jaren,Jackson Jr.,11600.0,19990.0,7,-9.0,0.171,home
13,0042200155,1610612763,Memphis,Grizzlies,1628991,Jaren,Jackson Jr.,21600.0,27960.0,7,0.0,0.25,home
14,0042200155,1610612763,Memphis,Grizzlies,1629630,Ja,Morant,0.0,7200.0,8,14.0,0.281,home
15,0042200155,1610612763,Memphis,Grizzlies,1629630,Ja,Morant,9720.0,21600.0,21,6.0,0.347,home
16,0042200155,1610612763,Memphis,Grizzlies,1629630,Ja,Morant,24510.0,27960.0,2,-1.0,0.3,home
17,0042200155,1610612763,Memphis,Grizzlies,1629723,John,Konchar,7200.0,9720.0,0,-2.0,0.083,home
18,0042200155,1610612763,Memphis,Grizzlies,1629723,John,Konchar,9840.0,10480.0,0,1.0,0.0,home
19,0042200155,1610612763,Memphis,Grizzlies,1629723,John,Konchar,12680.0,13929.0,0,-2.0,0.0,home
20,0042200155,1610612763,Memphis,Grizzlies,1629723,John,Konchar,18000.0,18840.0,0,-5.0,0.25,home
21,0042200155,1610612763,Memphis,Grizzlies,1629723,John,Konchar,27960.0,28800.0,0,-1.0,0.0,home
22,0042200155,1610612763,Memphis,Grizzlies,1630214,Xavier,Tillman,0.0,5930.0,2,6.0,0.071,home
23,0042200155,1610612763,Memphis,Grizzlies,1630214,Xavier,Tillman,9720.0,18000.0,0,-6.0,0.188,home
24,0042200155,1610612763,Memphis,Grizzlies,1630214,Xavier,Tillman,19990.0,21600.0,2,10.0,0.143,home
25,0042200155,1610612763,Memphis,Grizzlies,1630214,Xavier,Tillman,25120.0,27960.0,4,1.0,0.25,home
26,0042200155,1610612763,Memphis,Grizzlies,1630217,Desmond,Bane,0.0,3590.0,7,4.0,0.294,home
27,0042200155,1610612763,Memphis,Grizzlies,1630217,Desmond,Bane,5210.0,9840.0,11,7.0,0.333,home
28,0042200155,1610612763,Memphis,Grizzlies,1630217,Desmond,Bane,10480.0,27960.0,15,7.0,0.197,home
29,0042200155,1610612763,Memphis,Grizzlies,1630533,Ziaire,Williams,27960.0,28800.0,0,-1.0,0.333,home
30,0042200155,1610612763,Memphis,Grizzlies,1630583,Santi,Aldama,4110.0,5930.0,2,0.0,0.25,home
31,0042200155,1610612763,Memphis,Grizzlies,1630583,Santi,Aldama,18840.0,24510.0,5,18.0,0.13,home
32,0042200155,1610612763,Memphis,Grizzlies,1630583,Santi,Aldama,27960.0,28800.0,0,-1.0,0.0,home
33,0042200155,1610612763,Memphis,Grizzlies,1631223,David,Roddy,27960.0,28800.0,0,-1.0,0.0,home
34,0042200155,1610612763,Memphis,Grizzlies,1631254,Kenneth,Lofton Jr.,27960.0,28800.0,2,-1.0,0.667,home
