,fn,ln,totsec,pts,player_id,team_id,team_abbreviation,pm,game_min
0,Kyle,Kuzma,2058,26,1628398,1610612764,WAS,-8,34.3
1,Tyus,Jones,2049,12,1626145,1610612764,WAS,-8,34.15
2,Daniel,Gafford,1859,13,1629655,1610612764,WAS,0,30.983333333333334
3,Bilal,Coulibaly,1733,2,1641731,1610612764,WAS,-14,28.883333333333333
4,Jordan,Poole,1700,18,1629673,1610612764,WAS,-3,28.333333333333332
5,Deni,Avdija,1627,13,1630166,1610612764,WAS,-1,27.116666666666667
6,Corey,Kispert,1218,8,1630557,1610612764,WAS,-20,20.3
7,Marvin,Bagley III,971,14,1628963,1610612764,WAS,-15,16.183333333333334
8,Landry,Shamet,631,2,1629013,1610612764,WAS,-6,10.516666666666667
9,Delon,Wright,304,0,1626153,1610612764,WAS,0,5.066666666666666
10,Johnny,Davis,50,0,1631098,1610612764,WAS,0,0.8333333333333334
11,Patrick,Baldwin Jr.,50,0,1631116,1610612764,WAS,0,0.8333333333333334
12,Jules,Bernard,50,0,1631262,1610612764,WAS,0,0.8333333333333334
13,Anthony,Gill,50,0,1630264,1610612764,WAS,0,0.8333333333333334
14,Trey,Jemison,50,0,1641998,1610612764,WAS,0,0.8333333333333334
15,Jared,Butler,0,0,1630215,1610612764,WAS,0,0.0
16,Eugene,Omoruyi,0,0,1630647,1610612764,WAS,0,0.0
17,Isaiah,Livers,0,0,1630587,1610612764,WAS,0,0.0
18,John,Collins,1968,22,1628381,1610612762,UTA,22,32.8
19,Lauri,Markkanen,1967,29,1628374,1610612762,UTA,11,32.78333333333333
20,Keyonte,George,1868,5,1641718,1610612762,UTA,13,31.133333333333333
21,Jordan,Clarkson,1810,19,203903,1610612762,UTA,16,30.166666666666668
22,Simone,Fontecchio,1273,10,1631323,1610612762,UTA,11,21.216666666666665
23,Kelly,Olynyk,1261,19,203482,1610612762,UTA,13,21.016666666666666
24,Ochai,Agbaji,1201,0,1630534,1610612762,UTA,-2,20.016666666666666
25,Collin,Sexton,1012,11,1629012,1610612762,UTA,2,16.866666666666667
26,Kris,Dunn,1012,4,1627739,1610612762,UTA,2,16.866666666666667
27,Walker,Kessler,912,4,1631117,1610612762,UTA,-7,15.2
28,Luka,Samanic,58,0,1629677,1610612762,UTA,-3,0.9666666666666667
29,Omer,Yurtseven,58,0,1630209,1610612762,UTA,-3,0.9666666666666667
30,Talen,Horton-Tucker,0,0,1629659,1610612762,UTA,0,0.0
31,Taylor,Hendricks,0,0,1641707,1610612762,UTA,0,0.0
32,Johnny,Juzang,0,0,1630548,1610612762,UTA,0,0.0
33,Micah,Potter,0,0,1630695,1610612762,UTA,0,0.0
34,Jason,Preston,0,0,1630554,1610612762,UTA,0,0.0
35,Brice,Sensabaugh,0,0,1641729,1610612762,UTA,0,0.0
