,fn,ln,totsec,pts,player_id,team_id,team_abbreviation,pm,game_min
0,Tyus,Jones,2311,22,1626145,1610612764,WAS,6,38.516666666666666
1,Daniel,Gafford,2106,26,1629655,1610612764,WAS,4,35.1
2,Kyle,Kuzma,2063,17,1628398,1610612764,WAS,0,34.38333333333333
3,Jordan,Poole,1913,14,1629673,1610612764,WAS,4,31.883333333333333
4,Deni,Avdija,1893,7,1630166,1610612764,WAS,7,31.55
5,Corey,Kispert,1514,6,1630557,1610612764,WAS,-16,25.233333333333334
6,Bilal,Coulibaly,1201,6,1641731,1610612764,WAS,-11,20.016666666666666
7,Danilo,Gallinari,737,6,201568,1610612764,WAS,-10,12.283333333333333
8,Mike,Muscala,622,4,203488,1610612764,WAS,-4,10.366666666666667
9,Anthony,Gill,20,0,1630264,1610612764,WAS,0,0.3333333333333333
10,Eugene,Omoruyi,20,0,1630647,1610612764,WAS,0,0.3333333333333333
11,Jules,Bernard,0,0,1631262,1610612764,WAS,0,0.0
12,Jared,Butler,0,0,1630215,1610612764,WAS,0,0.0
13,Patrick,Baldwin Jr.,0,0,1631116,1610612764,WAS,0,0.0
14,Johnny,Davis,0,0,1631098,1610612764,WAS,0,0.0
15,Ryan,Rollins,0,0,1631157,1610612764,WAS,0,0.0
16,Landry,Shamet,0,0,1629013,1610612764,WAS,0,0.0
17,Delon,Wright,0,0,1626153,1610612764,WAS,0,0.0
18,Devin,Booker,2484,27,1626164,1610612756,PHX,2,41.4
19,Kevin,Durant,2090,28,201142,1610612756,PHX,-2,34.833333333333336
20,Grayson,Allen,1997,11,1628960,1610612756,PHX,-4,33.28333333333333
21,Eric,Gordon,1816,13,201569,1610612756,PHX,12,30.266666666666666
22,Jusuf,Nurkic,1807,6,203994,1610612756,PHX,-6,30.116666666666667
23,Nassir,Little,1397,5,1629642,1610612756,PHX,-9,23.283333333333335
24,Jordan,Goodwin,1204,6,1630692,1610612756,PHX,17,20.066666666666666
25,Drew,Eubanks,1046,12,1629234,1610612756,PHX,10,17.433333333333334
26,Chimezie,Metu,559,4,1629002,1610612756,PHX,0,9.316666666666666
27,Keita,Bates-Diop,0,0,1628966,1610612756,PHX,0,0.0
28,Bol,Bol,0,0,1629626,1610612756,PHX,0,0.0
29,Yuta,Watanabe,0,0,1629139,1610612756,PHX,0,0.0
30,Udoka,Azubuike,0,0,1628962,1610612756,PHX,0,0.0
31,Bradley,Beal,0,0,203078,1610612756,PHX,0,0.0
32,Damion,Lee,0,0,1627814,1610612756,PHX,0,0.0
33,Saben,Lee,0,0,1630240,1610612756,PHX,0,0.0
34,Theo,Maledon,0,0,1630177,1610612756,PHX,0,0.0
35,Josh,Okogie,0,0,1629006,1610612756,PHX,0,0.0
