,fn,ln,totsec,pts,player_id,team_id,team_abbreviation,pm,game_min
0,Keyonte,George,1903,7,1641718,1610612762,UTA,-48,31.716666666666665
1,Ochai,Agbaji,1805,21,1630534,1610612762,UTA,-47,30.083333333333332
2,Walker,Kessler,1641,6,1631117,1610612762,UTA,-15,27.35
3,Taylor,Hendricks,1474,10,1641707,1610612762,UTA,-10,24.566666666666666
4,Simone,Fontecchio,1444,7,1631323,1610612762,UTA,-40,24.066666666666666
5,John,Collins,1406,10,1628381,1610612762,UTA,-40,23.433333333333334
6,Omer,Yurtseven,1239,8,1630209,1610612762,UTA,-35,20.65
7,Collin,Sexton,1075,7,1629012,1610612762,UTA,-3,17.916666666666668
8,Kris,Dunn,1037,8,1627739,1610612762,UTA,-3,17.283333333333335
9,Talen,Horton-Tucker,977,11,1629659,1610612762,UTA,-2,16.283333333333335
10,Luka,Samanic,399,2,1629677,1610612762,UTA,-7,6.65
11,Kelly,Olynyk,0,0,203482,1610612762,UTA,0,0.0
12,Josh,Christopher,0,0,1630528,1610612762,UTA,0,0.0
13,Jordan,Clarkson,0,0,203903,1610612762,UTA,0,0.0
14,Johnny,Juzang,0,0,1630548,1610612762,UTA,0,0.0
15,Lauri,Markkanen,0,0,1628374,1610612762,UTA,0,0.0
16,Micah,Potter,0,0,1630695,1610612762,UTA,0,0.0
17,Brice,Sensabaugh,0,0,1641729,1610612762,UTA,0,0.0
18,Luka,Doncic,1917,40,1629029,1610612742,DAL,34,31.95
19,Kyrie,Irving,1631,26,202681,1610612742,DAL,26,27.183333333333334
20,Dante,Exum,1544,5,203957,1610612742,DAL,40,25.733333333333334
21,Derrick,Jones Jr.,1495,12,1627884,1610612742,DAL,28,24.916666666666668
22,Dereck,Lively II,1446,10,1641726,1610612742,DAL,26,24.1
23,Tim,Hardaway Jr.,1313,17,203501,1610612742,DAL,8,21.883333333333333
24,Olivier-Maxence,Prosper,1273,6,1641765,1610612742,DAL,17,21.216666666666665
25,Seth,Curry,1121,10,203552,1610612742,DAL,26,18.683333333333334
26,Dwight,Powell,1096,4,203939,1610612742,DAL,20,18.266666666666666
27,Jaden,Hardy,489,8,1630702,1610612742,DAL,10,8.15
28,A.J.,Lawson,399,4,1630639,1610612742,DAL,7,6.65
29,Richaun,Holmes,338,2,1626158,1610612742,DAL,4,5.633333333333334
30,Markieff,Morris,338,3,202693,1610612742,DAL,4,5.633333333333334
31,Greg,Brown III,0,0,1630535,1610612742,DAL,0,0.0
32,Dexter,Dennis,0,0,1641926,1610612742,DAL,0,0.0
33,Josh,Green,0,0,1630182,1610612742,DAL,0,0.0
34,Maxi,Kleber,0,0,1628467,1610612742,DAL,0,0.0
35,Grant,Williams,0,0,1629684,1610612742,DAL,0,0.0
