,fn,ln,totsec,pts,player_id,team_id,team_abbreviation,pm,game_min
0,Nickeil,Alexander-Walker,2055,9,1629638,1610612750,MIN,17,34.25
1,Anthony,Edwards,2039,24,1630162,1610612750,MIN,23,33.983333333333334
2,Mike,Conley,1928,18,201144,1610612750,MIN,8,32.13333333333333
3,Karl-Anthony,Towns,1556,18,1626157,1610612750,MIN,7,25.933333333333334
4,Rudy,Gobert,1526,13,203497,1610612750,MIN,16,25.433333333333334
5,Kyle,Anderson,1365,6,203937,1610612750,MIN,13,22.75
6,Naz,Reid,1312,12,1629675,1610612750,MIN,4,21.866666666666667
7,Shake,Milton,1134,6,1629003,1610612750,MIN,8,18.9
8,Troy,Brown Jr.,1068,6,1628972,1610612750,MIN,5,17.8
9,Josh,Minott,139,2,1631169,1610612750,MIN,3,2.316666666666667
10,Daishen,Nix,139,3,1630227,1610612750,MIN,3,2.316666666666667
11,Leonard,Miller,139,2,1631159,1610612750,MIN,3,2.316666666666667
12,Jaylen,Clark,0,0,1641740,1610612750,MIN,0,0.0
13,Luka,Garza,0,0,1630568,1610612750,MIN,0,0.0
14,Jaden,McDaniels,0,0,1630183,1610612750,MIN,0,0.0
15,Jordan,McLaughlin,0,0,1629162,1610612750,MIN,0,0.0
16,Wendell,Moore Jr.,0,0,1631111,1610612750,MIN,0,0.0
17,Jaren,Jackson Jr.,2196,18,1628991,1610612763,MEM,-9,36.6
18,Desmond,Bane,2055,13,1630217,1610612763,MEM,-17,34.25
19,Bismack,Biyombo,1811,10,202687,1610612763,MEM,-16,30.183333333333334
20,David,Roddy,1673,11,1631223,1610612763,MEM,-5,27.883333333333333
21,Santi,Aldama,1600,14,1630583,1610612763,MEM,-15,26.666666666666668
22,Derrick,Rose,1180,12,201565,1610612763,MEM,-3,19.666666666666668
23,Ziaire,Williams,1088,11,1630533,1610612763,MEM,-9,18.133333333333333
24,Jacob,Gilyard,980,0,1631367,1610612763,MEM,-21,16.333333333333332
25,Jaylen,Nowell,809,4,1629669,1610612763,MEM,5,13.483333333333333
26,Vince,Williams Jr.,591,0,1631246,1610612763,MEM,-11,9.85
27,Shaquille,Harrison,139,2,1627885,1610612763,MEM,-3,2.316666666666667
28,Kenneth,Lofton Jr.,139,2,1631254,1610612763,MEM,-3,2.316666666666667
29,John,Konchar,139,0,1629723,1610612763,MEM,-3,2.316666666666667
30,Steven,Adams,0,0,203500,1610612763,MEM,0,0.0
31,Brandon,Clarke,0,0,1629634,1610612763,MEM,0,0.0
32,GG,Jackson,0,0,1641713,1610612763,MEM,0,0.0
33,Luke,Kennard,0,0,1628379,1610612763,MEM,0,0.0
34,Jake,LaRavia,0,0,1631222,1610612763,MEM,0,0.0
35,Ja,Morant,0,0,1629630,1610612763,MEM,0,0.0
36,Marcus,Smart,0,0,203935,1610612763,MEM,0,0.0
37,Xavier,Tillman,0,0,1630214,1610612763,MEM,0,0.0
