,fn,ln,totsec,pts,player_id,team_id,team_abbreviation,pm,game_min
0,Julius,Randle,2217,30,203944,1610612752,NYK,-3,36.95
1,Jalen,Brunson,2147,30,1628973,1610612752,NYK,7,35.78333333333333
2,OG,Anunoby,2007,10,1628384,1610612752,NYK,11,33.45
3,Josh,Hart,1694,2,1628404,1610612752,NYK,9,28.233333333333334
4,Jericho,Sims,1593,6,1630579,1610612752,NYK,-8,26.55
5,Donte,DiVincenzo,1518,11,1628978,1610612752,NYK,-7,25.3
6,Precious,Achiuwa,1287,6,1630173,1610612752,NYK,13,21.45
7,Quentin,Grimes,1204,5,1629656,1610612752,NYK,5,20.066666666666666
8,Miles,McBride,733,8,1630540,1610612752,NYK,-2,12.216666666666667
9,Ryan,Arcidiacono,0,0,1627853,1610612752,NYK,0,0.0
10,Malachi,Flynn,0,0,1630201,1610612752,NYK,0,0.0
11,Evan,Fournier,0,0,203095,1610612752,NYK,0,0.0
12,Charlie,Brown Jr.,0,0,1629718,1610612752,NYK,0,0.0
13,Isaiah,Hartenstein,0,0,1628392,1610612752,NYK,0,0.0
14,Mitchell,Robinson,0,0,1629011,1610612752,NYK,0,0.0
15,Jacob,Toppin,0,0,1631210,1610612752,NYK,0,0.0
16,Duane,Washington Jr.,0,0,1630613,1610612752,NYK,0,0.0
17,Nic,Claxton,2322,8,1629651,1610612751,BKN,-6,38.7
18,Dorian,Finney-Smith,2209,5,1627827,1610612751,BKN,4,36.81666666666667
19,Mikal,Bridges,2201,36,1628969,1610612751,BKN,0,36.68333333333333
20,Dennis,Smith Jr.,1741,8,1628372,1610612751,BKN,-11,29.016666666666666
21,Cameron,Johnson,1524,19,1629661,1610612751,BKN,1,25.4
22,Cam,Thomas,1328,14,1630560,1610612751,BKN,-3,22.133333333333333
23,Royce,O'Neale,1229,8,1626220,1610612751,BKN,-8,20.483333333333334
24,Spencer,Dinwiddie,1114,0,203915,1610612751,BKN,7,18.566666666666666
25,Lonnie,Walker IV,732,5,1629022,1610612751,BKN,-9,12.2
26,Harry,Giles III,0,0,1628385,1610612751,BKN,0,0.0
27,Day'Ron,Sharpe,0,0,1630549,1610612751,BKN,0,0.0
28,Trendon,Watford,0,0,1630570,1610612751,BKN,0,0.0
29,Noah,Clowney,0,0,1641730,1610612751,BKN,0,0.0
30,Keon,Johnson,0,0,1630553,1610612751,BKN,0,0.0
31,Ben,Simmons,0,0,1627732,1610612751,BKN,0,0.0
32,Dariq,Whitehead,0,0,1641727,1610612751,BKN,0,0.0
33,Jalen,Wilson,0,0,1630592,1610612751,BKN,0,0.0
