,fn,ln,totsec,pts,player_id,team_id,team_abbreviation,pm,game_min
0,Bennedict,Mathurin,1707,14,1631097,1610612754,IND,10,28.45
1,Bruce,Brown,1705,6,1628971,1610612754,IND,34,28.416666666666668
2,Tyrese,Haliburton,1667,19,1630169,1610612754,IND,32,27.783333333333335
3,Buddy,Hield,1574,25,1627741,1610612754,IND,10,26.233333333333334
4,Myles,Turner,1508,18,1626167,1610612754,IND,19,25.133333333333333
5,Aaron,Nesmith,1396,19,1630174,1610612754,IND,8,23.266666666666666
6,Obi,Toppin,1377,6,1630167,1610612754,IND,25,22.95
7,T.J.,McConnell,1213,9,204456,1610612754,IND,-1,20.216666666666665
8,Isaiah,Jackson,894,10,1630543,1610612754,IND,9,14.9
9,Jordan,Nwora,523,6,1629670,1610612754,IND,1,8.716666666666667
10,Jalen,Smith,478,10,1630188,1610612754,IND,3,7.966666666666667
11,James,Johnson,358,2,201949,1610612754,IND,5,5.966666666666667
12,Andrew,Nembhard,0,0,1629614,1610612754,IND,0,0.0
13,Kendall,Brown,0,0,1631112,1610612754,IND,0,0.0
14,Ben,Sheppard,0,0,1641767,1610612754,IND,0,0.0
15,Oscar,Tshiebwe,0,0,1631131,1610612754,IND,0,0.0
16,Jarace,Walker,0,0,1641716,1610612754,IND,0,0.0
17,Isaiah,Wong,0,0,1631209,1610612754,IND,0,0.0
18,Miles,Bridges,2214,19,1628970,1610612766,CHA,-15,36.9
19,Terry,Rozier,2077,25,1626179,1610612766,CHA,-21,34.61666666666667
20,Brandon,Miller,1966,21,1641706,1610612766,CHA,-30,32.766666666666666
21,P.J.,Washington,1605,12,1629023,1610612766,CHA,-31,26.75
22,Gordon,Hayward,1424,11,202330,1610612766,CHA,-25,23.733333333333334
23,Bryce,McGowens,1259,2,1631121,1610612766,CHA,1,20.983333333333334
24,Nick,Richards,1141,4,1630208,1610612766,CHA,-12,19.016666666666666
25,Ish,Smith,945,4,202397,1610612766,CHA,-5,15.75
26,Nathan,Mensah,442,4,1641877,1610612766,CHA,1,7.366666666666666
27,James,Bouknight,358,3,1630547,1610612766,CHA,-5,5.966666666666667
28,Nick,Smith Jr.,358,6,1641733,1610612766,CHA,-5,5.966666666666667
29,JT,Thor,358,2,1630550,1610612766,CHA,-5,5.966666666666667
30,Leaky,Black,253,0,1641778,1610612766,CHA,-3,4.216666666666667
31,Amari,Bailey,0,0,1641735,1610612766,CHA,0,0.0
32,LaMelo,Ball,0,0,1630163,1610612766,CHA,0,0.0
33,Cody,Martin,0,0,1628998,1610612766,CHA,0,0.0
34,Frank,Ntilikina,0,0,1628373,1610612766,CHA,0,0.0
35,Mark,Williams,0,0,1631109,1610612766,CHA,0,0.0
