,fn,ln,totsec,pts,player_id,team_id,team_abbreviation,pm,game_min
0,Jerami,Grant,2448,30,203924,1610612757,POR,-13,40.8
1,Anfernee,Simons,2135,24,1629014,1610612757,POR,-1,35.583333333333336
2,Deandre,Ayton,1969,8,1629028,1610612757,POR,-3,32.81666666666667
3,Shaedon,Sharpe,1632,12,1631101,1610612757,POR,0,27.2
4,Malcolm,Brogdon,1602,8,1627763,1610612757,POR,-2,26.7
5,Toumani,Camara,1343,11,1641739,1610612757,POR,-5,22.383333333333333
6,Scoot,Henderson,1306,14,1630703,1610612757,POR,0,21.766666666666666
7,Matisse,Thybulle,1062,3,1629680,1610612757,POR,4,17.7
8,Jabari,Walker,903,4,1631133,1610612757,POR,0,15.05
9,Moses,Brown,0,0,1629650,1610612757,POR,0,0.0
10,Skylar,Mays,0,0,1630219,1610612757,POR,0,0.0
11,Kris,Murray,0,0,1631200,1610612757,POR,0,0.0
12,Duop,Reath,0,0,1641871,1610612757,POR,0,0.0
13,Ish,Wainright,0,0,1630688,1610612757,POR,0,0.0
14,Ibou,Badji,0,0,1630641,1610612757,POR,0,0.0
15,Justin,Minaya,0,0,1631303,1610612757,POR,0,0.0
16,Rayan,Rupert,0,0,1641712,1610612757,POR,0,0.0
17,Robert,Williams III,0,0,1629057,1610612757,POR,0,0.0
18,Brandin,Podziemski,2004,10,1641764,1610612744,GSW,1,33.4
19,Chris,Paul,1896,4,101108,1610612744,GSW,-4,31.6
20,Stephen,Curry,1874,7,201939,1610612744,GSW,14,31.233333333333334
21,Andrew,Wiggins,1760,25,203952,1610612744,GSW,-3,29.333333333333332
22,Klay,Thompson,1748,28,202691,1610612744,GSW,-5,29.133333333333333
23,Moses,Moody,1132,6,1630541,1610612744,GSW,9,18.866666666666667
24,Jonathan,Kuminga,1126,12,1630228,1610612744,GSW,4,18.766666666666666
25,Trayce,Jackson-Davis,1061,14,1631218,1610612744,GSW,8,17.683333333333334
26,Dario,Saric,918,8,203967,1610612744,GSW,-2,15.3
27,Kevon,Looney,881,4,1626172,1610612744,GSW,-2,14.683333333333334
28,Draymond,Green,0,0,203110,1610612744,GSW,0,0.0
29,Cory,Joseph,0,0,202709,1610612744,GSW,0,0.0
30,Gary,Payton II,0,0,1627780,1610612744,GSW,0,0.0
31,Usman,Garuba,0,0,1630586,1610612744,GSW,0,0.0
32,Lester,Quinones,0,0,1631311,1610612744,GSW,0,0.0
33,Jerome,Robinson,0,0,1629010,1610612744,GSW,0,0.0
34,Gui,Santos,0,0,1630611,1610612744,GSW,0,0.0
