,fn,ln,totsec,pts,player_id,team_id,team_abbreviation,pm,game_min
0,D'Angelo,Russell,2263,29,1626156,1610612747,LAL,7,37.71666666666667
1,Anthony,Davis,2166,22,203076,1610612747,LAL,13,36.1
2,LeBron,James,2142,25,2544,1610612747,LAL,14,35.7
3,Austin,Reaves,1993,20,1630559,1610612747,LAL,14,33.21666666666667
4,Taurean,Prince,1818,14,1627752,1610612747,LAL,-2,30.3
5,Jarred,Vanderbilt,1610,17,1629020,1610612747,LAL,0,26.833333333333332
6,Rui,Hachimura,1161,10,1629060,1610612747,LAL,4,19.35
7,Christian,Wood,714,2,1626174,1610612747,LAL,-4,11.9
8,Max,Christie,533,2,1631108,1610612747,LAL,-1,8.883333333333333
9,Jaxson,Hayes,0,0,1629637,1610612747,LAL,0,0.0
10,Jalen,Hood-Schifino,0,0,1641720,1610612747,LAL,0,0.0
11,Cam,Reddish,0,0,1629629,1610612747,LAL,0,0.0
12,Colin,Castleton,0,0,1630658,1610612747,LAL,0,0.0
13,Maxwell,Lewis,0,0,1641721,1610612747,LAL,0,0.0
14,Skylar,Mays,0,0,1630219,1610612747,LAL,0,0.0
15,Gabe,Vincent,0,0,1629216,1610612747,LAL,0,0.0
16,Dylan,Windler,0,0,1629685,1610612747,LAL,0,0.0
17,Coby,White,2574,25,1629632,1610612741,CHI,-1,42.9
18,DeMar,DeRozan,2443,32,201942,1610612741,CHI,-7,40.71666666666667
19,Nikola,Vucevic,2351,20,202696,1610612741,CHI,-7,39.18333333333333
20,Alex,Caruso,2122,17,1627936,1610612741,CHI,-6,35.36666666666667
21,Ayo,Dosunmu,1771,18,1630245,1610612741,CHI,-11,29.516666666666666
22,Patrick,Williams,1460,6,1630172,1610612741,CHI,-11,24.333333333333332
23,Andre,Drummond,1011,11,203083,1610612741,CHI,0,16.85
24,Jevon,Carter,469,0,1628975,1610612741,CHI,3,7.816666666666666
25,Dalen,Terry,199,3,1631207,1610612741,CHI,-5,3.316666666666667
26,Torrey,Craig,0,0,1628470,1610612741,CHI,0,0.0
27,Julian,Phillips,0,0,1641763,1610612741,CHI,0,0.0
28,Terry,Taylor,0,0,1630678,1610612741,CHI,0,0.0
29,Lonzo,Ball,0,0,1628366,1610612741,CHI,0,0.0
30,Onuralp,Bitim,0,0,1641931,1610612741,CHI,0,0.0
31,Henri,Drell,0,0,1630929,1610612741,CHI,0,0.0
32,Zach,LaVine,0,0,203897,1610612741,CHI,0,0.0
33,Adama,Sanogo,0,0,1641766,1610612741,CHI,0,0.0
