,fn,ln,totsec,pts,player_id,team_id,team_abbreviation,pm,game_min
0,Jalen,Williams,2164,18,1631114,1610612760,OKC,6,36.06666666666667
1,Shai,Gilgeous-Alexander,2073,31,1628983,1610612760,OKC,21,34.55
2,Chet,Holmgren,1975,17,1631096,1610612760,OKC,1,32.916666666666664
3,Luguentz,Dort,1840,19,1629652,1610612760,OKC,2,30.666666666666668
4,Josh,Giddey,1368,12,1630581,1610612760,OKC,0,22.8
5,Cason,Wallace,1151,7,1641717,1610612760,OKC,20,19.183333333333334
6,Isaiah,Joe,1141,9,1630198,1610612760,OKC,9,19.016666666666666
7,Kenrich,Williams,905,7,1629026,1610612760,OKC,21,15.083333333333334
8,Aaron,Wiggins,822,9,1630598,1610612760,OKC,23,13.7
9,Gordon,Hayward,815,0,202330,1610612760,OKC,-1,13.583333333333334
10,Lindy,Waters III,73,0,1630322,1610612760,OKC,4,1.2166666666666666
11,Olivier,Sarr,73,0,1630846,1610612760,OKC,4,1.2166666666666666
12,Bismack,Biyombo,0,0,202687,1610612760,OKC,0,0.0
13,Aleksej,Pokusevski,0,0,1630197,1610612760,OKC,0,0.0
14,Jaylin,Williams,0,0,1631119,1610612760,OKC,0,0.0
15,Ousmane,Dieng,0,0,1631172,1610612760,OKC,0,0.0
16,Adam,Flagler,0,0,1641745,1610612760,OKC,0,0.0
17,Keyontae,Johnson,0,0,1641749,1610612760,OKC,0,0.0
18,Paul,George,2151,14,202331,1610612746,LAC,0,35.85
19,Norman,Powell,1847,19,1626181,1610612746,LAC,-22,30.783333333333335
20,Kawhi,Leonard,1832,20,202695,1610612746,LAC,-17,30.533333333333335
21,Ivica,Zubac,1769,13,1627826,1610612746,LAC,1,29.483333333333334
22,James,Harden,1768,17,201935,1610612746,LAC,-7,29.466666666666665
23,Amir,Coffey,1698,8,1629599,1610612746,LAC,-22,28.3
24,Terance,Mann,1663,8,1629611,1610612746,LAC,-14,27.716666666666665
25,Russell,Westbrook,960,2,201566,1610612746,LAC,-11,16.0
26,Mason,Plumlee,479,2,203486,1610612746,LAC,-12,7.983333333333333
27,Brandon,Boston Jr.,233,4,1630527,1610612746,LAC,-6,3.8833333333333333
28,Bones,Hyland,0,0,1630538,1610612746,LAC,0,0.0
29,Daniel,Theis,0,0,1628464,1610612746,LAC,0,0.0
30,P.J.,Tucker,0,0,200782,1610612746,LAC,0,0.0
31,Kobe,Brown,0,0,1641738,1610612746,LAC,0,0.0
32,Moussa,Diabate,0,0,1631217,1610612746,LAC,0,0.0
33,Jordan,Miller,0,0,1641757,1610612746,LAC,0,0.0
34,Xavier,Moon,0,0,1629875,1610612746,LAC,0,0.0
35,Joshua,Primo,0,0,1630563,1610612746,LAC,0,0.0
