,fn,ln,totsec,pts,player_id,team_id,team_abbreviation,pm,game_min
0,Franz,Wagner,2363,32,1630532,1610612753,ORL,15,39.38333333333333
1,Paolo,Banchero,2138,29,1631094,1610612753,ORL,4,35.63333333333333
2,Jalen,Suggs,1862,21,1630591,1610612753,ORL,9,31.033333333333335
3,Goga,Bitadze,1826,13,1629048,1610612753,ORL,16,30.433333333333334
4,Anthony,Black,1763,4,1641710,1610612753,ORL,0,29.383333333333333
5,Cole,Anthony,1405,9,1630175,1610612753,ORL,6,23.416666666666668
6,Caleb,Houstan,1247,0,1631216,1610612753,ORL,-3,20.783333333333335
7,Moritz,Wagner,1054,7,1629021,1610612753,ORL,-7,17.566666666666666
8,Chuma,Okeke,742,2,1629643,1610612753,ORL,5,12.366666666666667
9,Wendell,Carter Jr.,0,0,1628976,1610612753,ORL,0,0.0
10,Trevelin,Queen,0,0,1630243,1610612753,ORL,0,0.0
11,Markelle,Fultz,0,0,1628365,1610612753,ORL,0,0.0
12,Gary,Harris,0,0,203914,1610612753,ORL,0,0.0
13,Kevon,Harris,0,0,1630284,1610612753,ORL,0,0.0
14,Jett,Howard,0,0,1641724,1610612753,ORL,0,0.0
15,Joe,Ingles,0,0,204060,1610612753,ORL,0,0.0
16,Jonathan,Isaac,0,0,1628371,1610612753,ORL,0,0.0
17,Admiral,Schofield,0,0,1629678,1610612753,ORL,0,0.0
18,RJ,Barrett,2199,19,1629628,1610612752,NYK,-22,36.65
19,Julius,Randle,2186,38,203944,1610612752,NYK,0,36.43333333333333
20,Jalen,Brunson,2065,20,1628973,1610612752,NYK,-10,34.416666666666664
21,Josh,Hart,1839,5,1628404,1610612752,NYK,6,30.65
22,Immanuel,Quickley,1689,12,1630193,1610612752,NYK,3,28.15
23,Isaiah,Hartenstein,1490,7,1628392,1610612752,NYK,-18,24.833333333333332
24,Donte,DiVincenzo,1191,2,1628978,1610612752,NYK,-12,19.85
25,Taj,Gibson,926,2,201959,1610612752,NYK,7,15.433333333333334
26,Quentin,Grimes,815,3,1629656,1610612752,NYK,1,13.583333333333334
27,Ryan,Arcidiacono,0,0,1627853,1610612752,NYK,0,0.0
28,Evan,Fournier,0,0,203095,1610612752,NYK,0,0.0
29,DaQuan,Jeffries,0,0,1629610,1610612752,NYK,0,0.0
30,Miles,McBride,0,0,1630540,1610612752,NYK,0,0.0
31,Dmytro,Skapintsev,0,0,1631376,1610612752,NYK,0,0.0
32,Charlie,Brown Jr.,0,0,1629718,1610612752,NYK,0,0.0
33,Mitchell,Robinson,0,0,1629011,1610612752,NYK,0,0.0
34,Jericho,Sims,0,0,1630579,1610612752,NYK,0,0.0
35,Jacob,Toppin,0,0,1631210,1610612752,NYK,0,0.0
