,fn,ln,totsec,pts,player_id,team_id,team_abbreviation,pm,game_min
0,Luguentz,Dort,2188,7,1629652,1610612760,OKC,3,36.46666666666667
1,Shai,Gilgeous-Alexander,2133,34,1628983,1610612760,OKC,-1,35.55
2,Chet,Holmgren,1927,18,1631096,1610612760,OKC,13,32.11666666666667
3,Josh,Giddey,1514,8,1630581,1610612760,OKC,-2,25.233333333333334
4,Aaron,Wiggins,1491,12,1630598,1610612760,OKC,-2,24.85
5,Cason,Wallace,1210,5,1641717,1610612760,OKC,0,20.166666666666668
6,Jaylin,Williams,1109,9,1631119,1610612760,OKC,-5,18.483333333333334
7,Kenrich,Williams,1019,0,1629026,1610612760,OKC,6,16.983333333333334
8,Vasilije,Micic,1001,12,203995,1610612760,OKC,14,16.683333333333334
9,Ousmane,Dieng,514,0,1631172,1610612760,OKC,3,8.566666666666666
10,Lindy,Waters III,286,0,1630322,1610612760,OKC,-4,4.766666666666667
11,Davis,Bertans,8,0,202722,1610612760,OKC,0,0.13333333333333333
12,Keyontae,Johnson,0,0,1641749,1610612760,OKC,0,0.0
13,Tre,Mann,0,0,1630544,1610612760,OKC,0,0.0
14,Olivier,Sarr,0,0,1630846,1610612760,OKC,0,0.0
15,Isaiah,Joe,0,0,1630198,1610612760,OKC,0,0.0
16,Aleksej,Pokusevski,0,0,1630197,1610612760,OKC,0,0.0
17,Jalen,Williams,0,0,1631114,1610612760,OKC,0,0.0
18,Aaron,Gordon,2354,16,203932,1610612743,DEN,7,39.233333333333334
19,Michael,Porter Jr.,2327,15,1629008,1610612743,DEN,-16,38.78333333333333
20,Jamal,Murray,2311,16,1627750,1610612743,DEN,1,38.516666666666666
21,Kentavious,Caldwell-Pope,2176,11,203484,1610612743,DEN,13,36.266666666666666
22,Reggie,Jackson,1782,16,202704,1610612743,DEN,-12,29.7
23,Peyton,Watson,1255,9,1631212,1610612743,DEN,13,20.916666666666668
24,Christian,Braun,987,10,1631128,1610612743,DEN,-12,16.45
25,Justin,Holiday,682,5,203200,1610612743,DEN,-7,11.366666666666667
26,Zeke,Nnaji,526,2,1630192,1610612743,DEN,-12,8.766666666666667
27,Collin,Gillespie,0,0,1631221,1610612743,DEN,0,0.0
28,Jay,Huff,0,0,1630643,1610612743,DEN,0,0.0
29,DeAndre,Jordan,0,0,201599,1610612743,DEN,0,0.0
30,Braxton,Key,0,0,1630296,1610612743,DEN,0,0.0
31,Vlatko,Cancar,0,0,1628427,1610612743,DEN,0,0.0
32,Nikola,Jokic,0,0,203999,1610612743,DEN,0,0.0
33,Jalen,Pickett,0,0,1629618,1610612743,DEN,0,0.0
34,Julian,Strawther,0,0,1631124,1610612743,DEN,0,0.0
35,Hunter,Tyson,0,0,1641816,1610612743,DEN,0,0.0
