,fn,ln,totsec,pts,player_id,team_id,team_abbreviation,pm,game_min
0,CJ,McCollum,2012,18,203468,1610612740,NOP,13,33.53333333333333
1,Herbert,Jones,1770,7,1630529,1610612740,NOP,5,29.5
2,Brandon,Ingram,1702,17,1627742,1610612740,NOP,12,28.366666666666667
3,Trey,Murphy III,1695,28,1630530,1610612740,NOP,20,28.25
4,Jonas,Valanciunas,1679,13,202685,1610612740,NOP,-3,27.983333333333334
5,Naji,Marshall,1341,14,1630230,1610612740,NOP,16,22.35
6,Dyson,Daniels,1210,7,1630700,1610612740,NOP,-2,20.166666666666668
7,Jeremiah,Robinson-Earl,1201,11,1630526,1610612740,NOP,22,20.016666666666666
8,Jose,Alvarado,1066,2,1630631,1610612740,NOP,16,17.766666666666666
9,Jordan,Hawkins,724,6,1641722,1610612740,NOP,-4,12.066666666666666
10,Zion,Williamson,0,0,1629627,1610612740,NOP,0,0.0
11,Cody,Zeller,0,0,203469,1610612740,NOP,0,0.0
12,Kira,Lewis Jr.,0,0,1630184,1610612740,NOP,0,0.0
13,E.J.,Liddell,0,0,1630604,1610612740,NOP,0,0.0
14,Larry,Nance Jr.,0,0,1626204,1610612740,NOP,0,0.0
15,Matt,Ryan,0,0,1630346,1610612740,NOP,0,0.0
16,Dereon,Seabron,0,0,1631220,1610612740,NOP,0,0.0
17,Max,Strus,2000,13,1629622,1610612739,CLE,-15,33.333333333333336
18,Isaac,Okoro,1931,16,1630171,1610612739,CLE,-19,32.18333333333333
19,Craig,Porter Jr.,1744,7,1641854,1610612739,CLE,3,29.066666666666666
20,Jarrett,Allen,1615,14,1628386,1610612739,CLE,-6,26.916666666666668
21,Dean,Wade,1575,20,1629731,1610612739,CLE,-4,26.25
22,Caris,LeVert,1357,9,1627747,1610612739,CLE,-24,22.616666666666667
23,Tristan,Thompson,1251,6,202684,1610612739,CLE,-13,20.85
24,Georges,Niang,1148,11,1627777,1610612739,CLE,-13,19.133333333333333
25,Sam,Merrill,747,0,1630241,1610612739,CLE,1,12.45
26,Emoni,Bates,532,3,1641734,1610612739,CLE,-9,8.866666666666667
27,Isaiah,Mobley,250,3,1630600,1610612739,CLE,2,4.166666666666667
28,Damian,Jones,250,2,1627745,1610612739,CLE,2,4.166666666666667
29,Darius,Garland,0,0,1629636,1610612739,CLE,0,0.0
30,Ty,Jerome,0,0,1629660,1610612739,CLE,0,0.0
31,Donovan,Mitchell,0,0,1628378,1610612739,CLE,0,0.0
32,Evan,Mobley,0,0,1630596,1610612739,CLE,0,0.0
33,Ricky,Rubio,0,0,201937,1610612739,CLE,0,0.0
