,GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION,VIDEO_AVAILABLE_FLAG
401,0042300133,574,2,6,4,9:13 PM,2:43,,,MISS LeVert 5' Driving Layup,,,5,1627747,Caris LeVert,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,,0,0,,,,,,1
402,0042300133,575,4,0,4,9:13 PM,2:41,,,Jones REBOUND (Off:1 Def:0),,,5,1627745,Damian Jones,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,,0,0,,,,,,1
403,0042300133,576,5,45,4,9:13 PM,2:41,,,Jones Out of Bounds - Bad Pass Turnover Turnover (P2.T13),,,5,1627745,Damian Jones,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,,1,0,,,,,,1
404,0042300133,577,5,39,4,9:13 PM,2:29,Howard Step Out of Bounds Turnover (P2.T9),,,,,4,1641724,Jett Howard,1610612753.0,Orlando,Magic,ORL,0,0,,,,,,0,0,,,,,,1
405,0042300133,578,1,1,4,9:13 PM,2:21,,,Niang 26' 3PT Jump Shot (5 PTS) (LeVert 3 AST),78 - 115,37,5,1627777,Georges Niang,1610612739.0,Cleveland,Cavaliers,CLE,5,1627747,Caris LeVert,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,,1
406,0042300133,580,2,1,4,9:14 PM,1:57,MISS Black 27' 3PT Jump Shot,,,,,4,1641710,Anthony Black,1610612753.0,Orlando,Magic,ORL,0,0,,,,,,0,0,,,,,,1
407,0042300133,581,4,0,4,9:14 PM,1:54,Bitadze REBOUND (Off:1 Def:2),,,,,4,1629048,Goga Bitadze,1610612753.0,Orlando,Magic,ORL,0,0,,,,,,0,0,,,,,,1
408,0042300133,582,2,107,4,9:14 PM,1:52,MISS Bitadze Tip Dunk Shot,,,,,4,1629048,Goga Bitadze,1610612753.0,Orlando,Magic,ORL,0,0,,,,,,0,0,,,,,,1
409,0042300133,583,4,0,4,9:14 PM,1:51,,,Jones REBOUND (Off:1 Def:1),,,5,1627745,Damian Jones,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,,0,0,,,,,,1
410,0042300133,584,5,39,4,9:14 PM,1:50,,,Niang Step Out of Bounds Turnover (P2.T14),,,5,1627777,Georges Niang,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,,0,0,,,,,,1
411,0042300133,585,1,44,4,9:15 PM,1:30,Howard 3' Reverse Layup (5 PTS) (Black 2 AST),,,78 - 117,39,4,1641724,Jett Howard,1610612753.0,Orlando,Magic,ORL,4,1641710,Anthony Black,1610612753.0,Orlando,Magic,ORL,0,0,,,,,,1
412,0042300133,587,2,79,4,9:15 PM,1:22,,,MISS Okoro 25' 3PT Pullup Jump Shot,,,5,1630171,Isaac Okoro,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,,0,0,,,,,,1
413,0042300133,588,4,0,4,9:15 PM,1:22,Black REBOUND (Off:0 Def:1),,,,,4,1641710,Anthony Black,1610612753.0,Orlando,Magic,ORL,0,0,,,,,,0,0,,,,,,1
414,0042300133,589,2,1,4,9:15 PM,1:02,MISS Okeke 27' 3PT Jump Shot,,,,,4,1629643,Chuma Okeke,1610612753.0,Orlando,Magic,ORL,0,0,,,,,,0,0,,,,,,1
415,0042300133,590,4,0,4,9:15 PM,0:57,Black REBOUND (Off:1 Def:1),,,,,4,1641710,Anthony Black,1610612753.0,Orlando,Magic,ORL,0,0,,,,,,0,0,,,,,,1
416,0042300133,591,1,101,4,9:15 PM,0:48,Black 10' Driving Floating Jump Shot (2 PTS),,,78 - 119,41,4,1641710,Anthony Black,1610612753.0,Orlando,Magic,ORL,0,0,,,,,,0,0,,,,,,1
417,0042300133,592,1,63,4,9:16 PM,0:37,,,Niang 18' Fadeaway Jumper (7 PTS) (Jones 2 AST),80 - 119,39,5,1627777,Georges Niang,1610612739.0,Cleveland,Cavaliers,CLE,5,1627745,Damian Jones,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,,1
418,0042300133,593,1,79,4,9:16 PM,0:26,Black 17' Pullup Jump Shot (4 PTS),,,80 - 121,41,4,1641710,Anthony Black,1610612753.0,Orlando,Magic,ORL,0,0,,,,,,0,0,,,,,,1
419,0042300133,594,1,1,4,9:16 PM,0:17,,,Merrill 28' 3PT Jump Shot (9 PTS) (Okoro 2 AST),83 - 121,38,5,1630241,Sam Merrill,1610612739.0,Cleveland,Cavaliers,CLE,5,1630171,Isaac Okoro,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,,1
420,0042300133,596,13,0,4,9:16 PM,0:00,,End of 4th Period (9:16 PM EST),,83 - 121,38,0,0,,,,,,0,0,,,,,,0,0,,,,,,1
