,PERIOD,EVT,WALLCLK,CL,DE,LOCX,LOCY,OPT1,OPT2,OPT3,OPT4,MTYPE,ETYPE,OPID,TID,PID,HS,VS,EPID,OFTID,ORD,PTS,diff_a-h
0,1,2,2024-03-05T00:41:30.3000000+00:00,12:00,Start Period,0,-80,0,0,0,0,0,12,,0,0,0,0,,0,20000,0,0
1,1,4,2024-03-05T00:41:32.6000000+00:00,11:56,Jump Ball Jemison vs Jemison (Finney-Smith gains possession),0,-80,0,0,0,0,0,10,1641998,1610612751,1641998,0,0,1627827,1610612751,60000,0,0
2,1,7,2024-03-05T00:41:43.2000000+00:00,11:46,[BKN 3-0] Bridges 3pt Shot: Made (3 PTS) Assist: Schroder (1 AST),-6,240,3,0,0,0,1,1,,1610612751,1628969,3,0,203471,1610612751,70000,3,-3
3,1,9,2024-03-05T00:41:58.2000000+00:00,11:31,[MEM 3-3] Kennard 3pt Shot: Made (3 PTS) Assist: Williams Jr. (1 AST),-136,222,3,0,0,0,1,1,,1610612763,1628379,3,3,1631246,1610612763,90000,3,0
4,1,11,2024-03-05T00:42:17.5000000+00:00,11:11,[BKN] Johnson 3pt Shot: Missed,163,194,3,0,0,0,1,2,,1610612751,1629661,3,3,,1610612751,110000,0,0
5,1,12,2024-03-05T00:42:20.5000000+00:00,11:08,[MEM] Jemison Rebound (Off:0 Def:1),163,194,0,0,0,0,0,4,,1610612763,1641998,3,3,,1610612751,120000,0,0
6,1,13,2024-03-05T00:42:26.6000000+00:00,11:07,Stoppage: Out-of-Bounds,0,-80,0,0,0,0,3,20,,0,0,3,3,,1610612763,130000,0,0
7,1,14,2024-03-05T00:42:49.4000000+00:00,10:56,[MEM] Aldama 3pt Shot: Missed,129,220,3,0,0,0,1,2,,1610612763,1630583,3,3,,1610612763,140000,0,0
8,1,15,2024-03-05T00:42:53.4000000+00:00,10:52,[BKN] Bridges Rebound (Off:0 Def:1),129,220,0,0,0,0,0,4,,1610612751,1628969,3,3,,1610612763,150000,0,0
9,1,16,2024-03-05T00:42:59.5000000+00:00,10:45,[BKN] Schroder 3pt Shot: Missed,-124,212,3,0,0,0,1,2,,1610612751,203471,3,3,,1610612751,160000,0,0
10,1,17,2024-03-05T00:43:02.5000000+00:00,10:42,[MEM] Williams Jr. Rebound (Off:0 Def:1),-124,212,0,0,0,0,0,4,,1610612763,1631246,3,3,,1610612751,170000,0,0
11,1,18,2024-03-05T00:43:09.8000000+00:00,10:35,[MEM] Kennard 3pt Shot: Missed,127,220,3,0,0,0,1,2,,1610612763,1628379,3,3,,1610612763,180000,0,0
12,1,19,2024-03-05T00:43:13.8000000+00:00,10:31,[BKN] Claxton Rebound (Off:0 Def:1),127,220,0,0,0,0,0,4,,1610612751,1629651,3,3,,1610612763,190000,0,0
13,1,20,2024-03-05T00:43:29.0000000+00:00,10:17,[MEM] Jemison Foul: Shooting (1 PF) (3 FTA) (C Washington),-28,240,0,0,3,0,2,6,1628969,1610612763,1641998,3,3,202056,1610612751,192500,0,0
14,1,22,2024-03-05T00:44:06.9000000+00:00,10:17,[BKN 4-3] Bridges Free Throw 1 of 3 (4 PTS),0,-80,1,0,1,0,13,3,,1610612751,1628969,4,3,,1610612751,195000,1,-1
15,1,23,2024-03-05T00:44:06.9000000+00:00,10:17,[BKN 5-3] Bridges Free Throw 2 of 3 (5 PTS),0,-80,1,0,1,0,14,3,,1610612751,1628969,5,3,,1610612751,197500,1,-2
16,1,24,2024-03-05T00:44:06.9000000+00:00,10:17,[BKN] Bridges Free Throw 3 of 3 Missed,0,-80,2,0,0,0,15,3,,1610612751,1628969,5,3,,1610612751,198750,0,-2
17,1,25,2024-03-05T00:44:09.9000000+00:00,10:14,[MEM] Jemison Rebound (Off:0 Def:2),0,-80,0,0,0,0,0,4,,1610612763,1641998,5,3,,1610612751,198751,0,-2
18,1,26,2024-03-05T00:44:56.5000000+00:00,09:58,[MEM 6-5] Aldama 3pt Shot: Made (3 PTS) Assist: Konchar (1 AST),-217,137,3,0,0,0,1,1,,1610612763,1630583,5,6,1629723,1610612763,260000,3,1
19,1,28,2024-03-05T00:45:17.7000000+00:00,09:36,[BKN] Bridges Driving Layup Shot: Missed,-33,29,2,0,0,0,6,2,,1610612751,1628969,5,6,,1610612751,280000,0,1
20,1,29,2024-03-05T00:45:19.7000000+00:00,09:34,[MEM] Konchar Rebound (Off:0 Def:1),-33,29,0,0,0,0,0,4,,1610612763,1629723,5,6,,1610612751,290000,0,1
21,1,30,2024-03-05T00:45:23.3000000+00:00,09:31,[MEM 9-5] Williams Jr. 3pt Shot: Made (3 PTS) Assist: Kennard (1 AST),-203,155,3,1,0,0,2,1,,1610612763,1631246,5,9,1628379,1610612763,300000,3,4
22,1,32,2024-03-05T00:45:46.7000000+00:00,09:08,[BKN] Finney-Smith Turnover : Bad Pass (1 TO) Steal:Williams Jr. (1 ST),67,49,1,0,0,0,1,5,1631246,1610612751,1627827,5,9,,1610612751,320000,0,4
23,1,34,2024-03-05T00:45:54.2000000+00:00,09:00,[MEM 12-5] Kennard 3pt Shot: Made (6 PTS) Assist: Aldama (1 AST),-186,169,3,0,0,0,1,1,,1610612763,1628379,5,12,1630583,1610612763,340000,3,7
24,1,36,2024-03-05T00:45:59.5000000+00:00,08:58,Timeout : Regular,0,-80,0,0,0,0,1,9,,1610612751,1610612751,5,12,,1610612751,360000,0,7
25,1,37,2024-03-05T00:49:11.9000000+00:00,08:42,[BKN 7-12] Claxton Alley Oop Dunk Shot: Made (2 PTS) Assist: Schroder (2 AST),2,13,2,0,0,0,52,1,,1610612751,1629651,7,12,203471,1610612751,370000,2,5
26,1,39,2024-03-05T00:49:26.1000000+00:00,08:27,[MEM 14-7] Jemison Driving Reverse Layup Shot: Made (2 PTS) Assist: Aldama (2 AST),-21,6,2,0,0,0,73,1,,1610612763,1641998,7,14,1630583,1610612763,390000,2,7
27,1,41,2024-03-05T00:49:37.5000000+00:00,08:16,[BKN 9-14] Claxton Turnaround Hook Shot: Made (4 PTS) Assist: Finney-Smith (1 AST),6,35,2,0,0,0,58,1,,1610612751,1629651,9,14,1627827,1610612751,410000,2,5
28,1,42,2024-03-05T00:49:48.9000000+00:00,08:05,[MEM] Aldama 3pt Shot: Missed,120,227,3,0,0,0,1,2,,1610612763,1630583,9,14,,1610612763,420000,0,5
29,1,43,2024-03-05T00:49:53.9000000+00:00,08:00,[BKN] Finney-Smith Rebound (Off:0 Def:1),120,227,0,0,0,0,0,4,,1610612751,1627827,9,14,,1610612763,430000,0,5
30,1,44,2024-03-05T00:50:05.8000000+00:00,07:48,[BKN] Schroder Pullup Jump shot: Missed,4,193,2,0,0,0,79,2,,1610612751,203471,9,14,,1610612751,440000,0,5
31,1,45,2024-03-05T00:50:08.8000000+00:00,07:45,[MEM] Jemison Rebound (Off:0 Def:3),4,193,0,0,0,0,0,4,,1610612763,1641998,9,14,,1610612751,450000,0,5
32,1,47,2024-03-05T00:50:31.8000000+00:00,07:22,[MEM] Kennard Turnover : Bad Pass (1 TO) Steal:Finney-Smith (1 ST),-98,222,1,0,0,0,1,5,1627827,1610612763,1628379,9,14,,1610612763,460000,0,5
33,1,49,2024-03-05T00:50:36.7000000+00:00,07:17,[BKN 12-14] Finney-Smith 3pt Shot: Made (3 PTS) Assist: Schroder (3 AST),93,238,3,1,0,0,2,1,,1610612751,1627827,12,14,203471,1610612751,480000,3,2
34,1,51,2024-03-05T00:50:52.7000000+00:00,07:01,[MEM] Kennard 3pt Shot: Missed,-21,262,3,0,0,0,79,2,,1610612763,1628379,12,14,,1610612763,500000,0,2
35,1,52,2024-03-05T00:50:55.7000000+00:00,06:58,[BKN] Johnson Rebound (Off:0 Def:1),-21,262,0,0,0,0,0,4,,1610612751,1629661,12,14,,1610612763,510000,0,2
36,1,53,2024-03-05T00:51:04.1000000+00:00,06:52,[MEM] Williams Jr. Foul: Shooting (1 PF) (2 FTA) (C Washington),36,42,0,0,2,0,2,6,1629661,1610612763,1631246,12,14,202056,1610612751,520000,0,2
37,1,55,2024-03-05T00:51:28.9000000+00:00,06:52,[BKN 13-14] Johnson Free Throw 1 of 2 (1 PTS),0,-80,1,0,1,0,11,3,,1610612751,1629661,13,14,,1610612751,540000,1,1
38,1,56,2024-03-05T00:51:30.0000000+00:00,06:52,[BKN] Claxton Substitution replaced by Walker IV,0,-80,0,0,0,0,0,8,,1610612751,1629651,13,14,1629022,1610612751,550000,0,1
39,1,57,2024-03-05T00:51:30.0000000+00:00,06:52,[BKN] Bridges Substitution replaced by Sharpe,0,-80,0,0,0,0,0,8,,1610612751,1628969,13,14,1630549,1610612751,560000,0,1
40,1,60,2024-03-05T00:51:28.9000000+00:00,06:52,[BKN] Johnson Free Throw 2 of 2 Missed,0,-80,2,0,0,0,12,3,,1610612751,1629661,13,14,,1610612751,590000,0,1
41,1,61,2024-03-05T00:51:31.9000000+00:00,06:49,[MEM] Konchar Rebound (Off:0 Def:2),0,-80,0,0,0,0,0,4,,1610612763,1629723,13,14,,1610612751,590001,0,1
42,1,62,2024-03-05T00:52:15.1000000+00:00,06:33,[MEM 16-13] Aldama Driving Floating Bank Jump Shot: Made (5 PTS) Assist: Williams Jr. (2 AST),45,27,2,0,0,0,102,1,,1610612763,1630583,13,16,1631246,1610612763,610000,2,3
43,1,64,2024-03-05T00:52:22.2000000+00:00,06:25,[BKN] Johnson 3pt Shot: Missed,2,251,3,0,0,0,1,2,,1610612751,1629661,13,16,,1610612751,630000,0,3
44,1,65,2024-03-05T00:52:26.2000000+00:00,06:21,[BKN] Finney-Smith Rebound (Off:1 Def:1),2,251,1,0,0,0,0,4,,1610612751,1627827,13,16,,1610612751,640000,0,3
45,1,66,2024-03-05T00:52:36.4000000+00:00,06:12,[BKN] Walker IV 3pt Shot: Missed,109,240,3,0,0,0,1,2,,1610612751,1629022,13,16,,1610612751,650000,0,3
46,1,67,2024-03-05T00:52:40.4000000+00:00,06:08,[MEM] Jemison Rebound (Off:0 Def:4),109,240,0,0,0,0,0,4,,1610612763,1641998,13,16,,1610612751,660000,0,3
47,1,68,2024-03-05T00:52:55.5000000+00:00,05:52,[MEM] Aldama Pullup Jump shot: Missed,113,19,2,0,0,0,79,2,,1610612763,1630583,13,16,,1610612763,670000,0,3
48,1,69,2024-03-05T00:52:59.5000000+00:00,05:48,[BKN] Sharpe Rebound (Off:0 Def:1),113,19,0,0,0,0,0,4,,1610612751,1630549,13,16,,1610612763,680000,0,3
49,1,70,2024-03-05T00:53:06.2000000+00:00,05:41,[BKN 16-16] Johnson 3pt Shot: Made (4 PTS) Assist: Walker IV (1 AST),229,21,3,0,0,0,1,1,,1610612751,1629661,16,16,1629022,1610612751,690000,3,0
