,PERIOD,EVT,WALLCLK,CL,DE,LOCX,LOCY,OPT1,OPT2,OPT3,OPT4,MTYPE,ETYPE,OPID,TID,PID,HS,VS,EPID,OFTID,ORD,PTS,diff_a-h
0,1,2,2024-02-03T01:12:06.8000000+00:00,12:00,Start Period,0,-80,0,0,0,0,0,12,,0,0,0,0,,0,20000,0,0
1,1,4,2024-02-03T01:12:08.4000000+00:00,11:58,Jump Ball Richards vs Richards (Gilgeous-Alexander gains possession),0,-80,0,0,0,0,0,10,1630208,1610612760,1630208,0,0,1628983,1610612760,60000,0,0
2,1,7,2024-02-03T01:12:25.2000000+00:00,11:40,[OKC 2-0] Giddey Cutting Finger Roll Layup Shot: Made (2 PTS) Assist: Gilgeous-Alexander (1 AST),5,22,2,0,0,0,99,1,,1610612760,1630581,2,0,1628983,1610612760,70000,2,-2
3,1,9,2024-02-03T01:12:43.9000000+00:00,11:21,[CHA] Bridges Pullup Jump shot: Missed,48,133,2,0,0,0,79,2,,1610612766,1628970,2,0,,1610612766,90000,0,-2
4,1,10,2024-02-03T01:12:44.9000000+00:00,11:20,[OKC] Holmgren Rebound (Off:0 Def:1),48,133,0,0,0,0,0,4,,1610612760,1631096,2,0,,1610612766,100000,0,-2
5,1,11,2024-02-03T01:12:52.3000000+00:00,11:14,[OKC 5-0] Holmgren 3pt Shot: Made (3 PTS) Assist: Gilgeous-Alexander (2 AST),-163,215,3,0,0,0,1,1,,1610612760,1631096,5,0,1628983,1610612760,110000,3,-5
6,1,13,2024-02-03T01:13:06.9000000+00:00,11:00,[CHA] Martin 3pt Shot: Missed Block: Gilgeous-Alexander (1 BLK),235,88,3,0,0,0,1,2,1628983,1610612766,1628998,5,0,,1610612766,130000,0,-5
7,1,15,2024-02-03T01:13:07.9000000+00:00,10:59,[CHA] Team Rebound,235,88,1,0,0,0,0,4,,1610612766,0,5,0,,1610612766,150000,0,-5
8,1,23,2024-02-03T01:13:16.6000000+00:00,10:59,Stoppage: Out-of-Bounds,0,-80,0,0,0,0,3,20,,0,0,5,0,,1610612766,155000,0,-5
9,1,16,2024-02-03T01:13:26.3000000+00:00,10:56,[CHA] Miller Turnover : Bad Pass (1 TO) Steal:Gilgeous-Alexander (1 ST),192,199,1,0,0,0,1,5,1628983,1610612766,1641706,5,0,,1610612766,160000,0,-5
10,1,18,2024-02-03T01:13:38.0000000+00:00,10:44,[OKC] Wallace Turnover : Bad Pass (1 TO) Steal:Miller (1 ST),-53,147,1,0,0,0,1,5,1641706,1610612760,1641717,5,0,,1610612760,180000,0,-5
11,1,20,2024-02-03T01:13:45.9000000+00:00,10:41,Stoppage: Out-of-Bounds,0,-80,0,0,0,0,3,20,,0,0,5,0,,1610612766,200000,0,-5
12,1,21,2024-02-03T01:14:07.5000000+00:00,10:34,[OKC] Wallace Foul: Personal (1 PF) (D Mosher),98,188,0,0,0,0,1,6,1630208,1610612760,1641717,5,0,1628484,1610612766,210000,0,-5
13,1,24,2024-02-03T01:14:35.7000000+00:00,10:26,[CHA] Miller Pullup Jump shot: Missed,71,192,2,0,0,0,79,2,,1610612766,1641706,5,0,,1610612766,230000,0,-5
14,1,25,2024-02-03T01:14:37.7000000+00:00,10:24,[OKC] Holmgren Rebound (Off:0 Def:2),71,192,0,0,0,0,0,4,,1610612760,1631096,5,0,,1610612766,240000,0,-5
15,1,26,2024-02-03T01:14:51.7000000+00:00,10:09,[OKC] Giddey 3pt Shot: Missed,-188,183,3,0,0,0,1,2,,1610612760,1630581,5,0,,1610612760,250000,0,-5
16,1,27,2024-02-03T01:14:54.7000000+00:00,10:06,[CHA] Bridges Rebound (Off:0 Def:1),-188,183,0,0,0,0,0,4,,1610612766,1628970,5,0,,1610612760,260000,0,-5
17,1,28,2024-02-03T01:15:03.7000000+00:00,09:57,[CHA] Bridges Turnover : Bad Pass (1 TO) Steal:Holmgren (1 ST),98,21,1,0,0,0,1,5,1631096,1610612766,1628970,5,0,,1610612766,270000,0,-5
18,1,30,2024-02-03T01:15:14.7000000+00:00,09:46,[OKC] Wallace 3pt Shot: Missed,116,242,3,0,0,0,1,2,,1610612760,1641717,5,0,,1610612760,290000,0,-5
19,1,31,2024-02-03T01:15:17.7000000+00:00,09:43,[CHA] Richards Rebound (Off:0 Def:1),116,242,0,0,0,0,0,4,,1610612766,1630208,5,0,,1610612760,300000,0,-5
20,1,32,2024-02-03T01:15:30.4000000+00:00,09:31,[CHA 3-5] Miller 3pt Shot: Made (3 PTS) Assist: Bridges (1 AST),142,226,3,0,0,0,1,1,,1610612766,1641706,5,3,1628970,1610612766,310000,3,-2
21,1,34,2024-02-03T01:15:54.0000000+00:00,09:09,[OKC 7-3] Giddey Driving Floating Jump Shot: Made (4 PTS) Assist: Dort (1 AST),-33,51,2,0,0,0,101,1,,1610612760,1630581,7,3,1629652,1610612760,330000,2,-4
22,1,36,2024-02-03T01:15:57.8000000+00:00,09:09,[CHA] Richards Violation:Defensive Goaltending (J Goble),0,-80,0,0,0,0,2,7,,1610612766,1630208,7,3,,1610612760,350000,0,-4
23,1,37,2024-02-03T01:16:16.5000000+00:00,08:54,[CHA] Miller Driving Floating Jump Shot: Missed Block: Gilgeous-Alexander (2 BLK),45,94,2,0,0,0,101,2,1628983,1610612766,1641706,7,3,,1610612766,360000,0,-4
24,1,39,2024-02-03T01:16:19.5000000+00:00,08:51,[OKC] Giddey Rebound (Off:0 Def:1),45,94,0,0,0,0,0,4,,1610612760,1630581,7,3,,1610612766,380000,0,-4
25,1,40,2024-02-03T01:16:22.8000000+00:00,08:48,[OKC 10-3] Wallace 3pt Shot: Made (3 PTS) Assist: Gilgeous-Alexander (3 AST),85,239,3,1,0,0,2,1,,1610612760,1641717,10,3,1628983,1610612760,390000,3,-7
26,1,42,2024-02-03T01:16:39.6000000+00:00,08:31,[CHA 5-10] McGowens Pullup Jump shot: Made (2 PTS) Assist: Martin (1 AST),21,61,2,0,0,0,79,1,,1610612766,1631121,10,5,1628998,1610612766,410000,2,-5
27,1,44,2024-02-03T01:16:50.9000000+00:00,08:19,[OKC] Wallace 3pt Shot: Missed,-230,19,3,0,0,0,1,2,,1610612760,1641717,10,5,,1610612760,430000,0,-5
28,1,45,2024-02-03T01:16:54.9000000+00:00,08:15,[CHA] McGowens Rebound (Off:0 Def:1),-230,19,0,0,0,0,0,4,,1610612766,1631121,10,5,,1610612760,440000,0,-5
