,PERIOD,EVT,WALLCLK,CL,DE,LOCX,LOCY,OPT1,OPT2,OPT3,OPT4,MTYPE,ETYPE,OPID,TID,PID,HS,VS,EPID,OFTID,ORD,PTS,diff_a-h
0,1,2,2023-12-16T00:43:26.6000000+00:00,12:00,Start Period,0,-80,0,0,0,0,0,12,,0,0,0,0,,0,20000,0,0
1,1,4,2023-12-16T00:43:35.2000000+00:00,11:51,Jump Ball Wembanyama vs Hayes (Johnson gains possession),0,-80,0,0,0,0,0,10,1629637,1610612759,1641705,0,0,1629640,1610612759,60000,0,0
2,1,7,2023-12-16T00:43:44.2000000+00:00,11:42,[SAS 2-0] Branham Pullup Jump shot: Made (2 PTS) Assist: Johnson (1 AST),82,129,2,0,0,0,79,1,,1610612759,1631103,2,0,1629640,1610612759,70000,2,-2
3,1,8,2023-12-16T00:44:01.0000000+00:00,11:24,[LAL] Reaves Turnover : Bad Pass (1 TO) Steal:Sochan (1 ST),44,198,1,0,0,0,1,5,1631110,1610612747,1630559,2,0,,1610612747,80000,0,-2
4,1,10,2023-12-16T00:44:04.3000000+00:00,11:21,[SAS 4-0] Sochan Running Dunk Shot: Made (2 PTS) Assist: Johnson (2 AST),2,-9,2,1,0,0,50,1,,1610612759,1631110,4,0,1629640,1610612759,100000,2,-4
5,1,12,2023-12-16T00:44:18.1000000+00:00,11:07,[LAL 2-4] Reaves Pullup Jump shot: Made (2 PTS),156,112,2,0,0,0,79,1,,1610612747,1630559,4,2,,1610612747,120000,2,-2
6,1,14,2023-12-16T00:44:29.0000000+00:00,11:00,[SAS] Sochan Foul: Offensive (1 PF) (D Guthrie),86,171,0,0,0,0,4,6,1630559,1610612759,1631110,4,2,2714,1610612759,130000,0,-2
7,1,16,2023-12-16T00:44:29.0000000+00:00,11:00,[SAS] Sochan Turnover : Offensive Foul Turnover (1 TO),86,171,0,0,0,0,37,5,,1610612759,1631110,4,2,2714,1610612759,150000,0,-2
8,1,17,2023-12-16T00:44:52.2000000+00:00,10:51,[LAL] Prince 3pt Shot: Missed,-233,-1,3,0,0,0,1,2,,1610612747,1627752,4,2,,1610612747,160000,0,-2
9,1,18,2023-12-16T00:44:56.2000000+00:00,10:47,[SAS] Sochan Rebound (Off:0 Def:1),-233,-1,0,0,0,0,0,4,,1610612759,1631110,4,2,,1610612747,170000,0,-2
10,1,19,2023-12-16T00:45:12.3000000+00:00,10:30,[SAS] Sochan 3pt Shot: Missed,-233,22,3,0,0,0,1,2,,1610612759,1631110,4,2,,1610612759,180000,0,-2
11,1,20,2023-12-16T00:45:15.3000000+00:00,10:27,[LAL] Prince Rebound (Off:0 Def:1),-233,22,0,0,0,0,0,4,,1610612747,1627752,4,2,,1610612759,190000,0,-2
