,PERIOD,EVT,WALLCLK,CL,DE,LOCX,LOCY,OPT1,OPT2,OPT3,OPT4,MTYPE,ETYPE,OPID,TID,PID,HS,VS,EPID,OFTID,ORD,PTS,diff_a-h
0,1,2,2023-11-11T03:11:03.1000000+00:00,12:00,Start Period,0,-80,0,0,0,0,0,12,,0,0,0,0,,0,20000,0,0
1,1,4,2023-11-11T03:11:06.7000000+00:00,11:56,Jump Ball Holmgren vs Sabonis (Giddey gains possession),0,-80,0,0,0,0,0,10,1627734,1610612760,1631096,0,0,1630581,1610612760,60000,0,0
2,1,7,2023-11-11T03:11:10.0000000+00:00,11:53,[OKC] Holmgren Turnover : Bad Pass (1 TO) Steal:Murray (1 ST),21,-4,1,0,0,0,1,5,1631099,1610612760,1631096,0,0,,1610612760,70000,0,0
3,1,9,2023-11-11T03:11:20.0000000+00:00,11:42,[SAC 2-0] Sabonis Finger Roll Layup Shot: Made (2 PTS),11,8,2,0,0,0,71,1,,1610612758,1627734,2,0,,1610612758,90000,2,-2
4,1,10,2023-11-11T03:11:27.6000000+00:00,11:34,[OKC] Dort Turnover : Lost Ball (1 TO) Steal:Murray (2 ST),-142,209,1,0,0,0,2,5,1631099,1610612760,1629652,2,0,,1610612760,100000,0,-2
5,1,12,2023-11-11T03:11:32.3000000+00:00,11:30,[SAC 4-0] Huerter Running Layup Shot: Made (2 PTS) Assist: Murray (1 AST),5,4,2,1,0,0,41,1,,1610612758,1628989,4,0,1631099,1610612758,120000,2,-4
6,1,14,2023-11-11T03:11:48.3000000+00:00,11:13,[OKC 2-4] Jal Williams Driving Layup Shot: Made (2 PTS) Assist: Holmgren (1 AST),40,51,2,0,0,0,6,1,,1610612760,1631114,4,2,1631096,1610612760,140000,2,-2
7,1,15,2023-11-11T03:12:08.2000000+00:00,10:54,[SAC] Barnes 3pt Shot: Missed,234,59,3,0,0,0,1,2,,1610612758,203084,4,2,,1610612758,150000,0,-2
8,1,16,2023-11-11T03:12:12.2000000+00:00,10:50,[OKC] Dort Rebound (Off:0 Def:1),234,59,0,0,0,0,0,4,,1610612760,1629652,4,2,,1610612758,160000,0,-2
9,1,17,2023-11-11T03:12:16.3000000+00:00,10:45,[OKC 4-4] Gilgeous-Alexander Running Layup Shot: Made (2 PTS),-28,47,2,1,0,0,41,1,,1610612760,1628983,4,4,,1610612760,170000,2,0
10,1,18,2023-11-11T03:12:29.6000000+00:00,10:33,[SAC 7-4] Huerter 3pt Shot: Made (5 PTS) Assist: Sabonis (1 AST),2,252,3,0,0,0,79,1,,1610612758,1628989,7,4,1627734,1610612758,180000,3,-3
11,1,20,2023-11-11T03:12:44.8000000+00:00,10:17,[OKC] Jal Williams 3pt Shot: Missed,107,231,3,0,0,0,1,2,,1610612760,1631114,7,4,,1610612760,200000,0,-3
12,1,21,2023-11-11T03:12:48.8000000+00:00,10:13,[SAC] Sabonis Rebound (Off:0 Def:1),107,231,0,0,0,0,0,4,,1610612758,1627734,7,4,,1610612760,210000,0,-3
13,1,22,2023-11-11T03:12:57.9000000+00:00,10:08,[SAC] Sabonis Turnover : Double Dribble (1 TO),147,75,0,0,0,0,6,5,,1610612758,1627734,7,4,202049,1610612758,220000,0,-3
14,1,23,2023-11-11T03:13:24.6000000+00:00,09:51,[OKC] Gilgeous-Alexander 3pt Shot: Missed,-62,258,3,0,0,0,1,2,,1610612760,1628983,7,4,,1610612760,230000,0,-3
15,1,24,2023-11-11T03:13:27.6000000+00:00,09:48,[OKC] Team Rebound,-66,255,1,0,0,0,0,4,,1610612760,0,7,4,,1610612760,240000,0,-3
16,1,25,2023-11-11T03:13:36.1000000+00:00,09:48,Stoppage: Out-of-Bounds,0,-80,0,0,0,0,3,20,,0,0,7,4,,1610612760,250000,0,-3
17,1,26,2023-11-11T03:13:57.8000000+00:00,09:35,[OKC] Jal Williams 3pt Shot: Missed,109,245,3,0,0,0,1,2,,1610612760,1631114,7,4,,1610612760,260000,0,-3
18,1,27,2023-11-11T03:13:59.8000000+00:00,09:33,[SAC] Huerter Rebound (Off:0 Def:1),109,245,0,0,0,0,0,4,,1610612758,1628989,7,4,,1610612760,270000,0,-3
19,1,28,2023-11-11T03:14:10.3000000+00:00,09:23,[SAC] Barnes 3pt Shot: Missed,-235,40,3,0,0,0,1,2,,1610612758,203084,7,4,,1610612758,280000,0,-3
20,1,29,2023-11-11T03:14:14.3000000+00:00,09:19,[OKC] Holmgren Rebound (Off:0 Def:1),-235,40,0,0,0,0,0,4,,1610612760,1631096,7,4,,1610612758,290000,0,-3
21,1,30,2023-11-11T03:14:20.5000000+00:00,09:13,[OKC] Gilgeous-Alexander Running Layup Shot: Missed,-7,21,2,1,0,0,41,2,,1610612760,1628983,7,4,,1610612760,300000,0,-3
22,1,31,2023-11-11T03:14:23.5000000+00:00,09:10,[SAC] Ellis Rebound (Off:0 Def:1),-7,21,0,0,0,0,0,4,,1610612758,1631165,7,4,,1610612760,310000,0,-3
23,1,32,2023-11-11T03:14:31.2000000+00:00,09:03,[SAC 9-4] Huerter Cutting Layup Shot: Made (7 PTS) Assist: Sabonis (2 AST),23,19,2,0,0,0,98,1,,1610612758,1628989,9,4,1627734,1610612758,320000,2,-5
24,1,34,2023-11-11T03:14:47.1000000+00:00,08:49,[SAC] Ellis Foul: Personal (1 PF) (B Taylor),-75,163,0,0,0,0,1,6,1630581,1610612758,1631165,9,4,202049,1610612760,340000,0,-5
25,1,74,2023-11-11T03:15:02.6000000+00:00,08:44,[OKC] Jal Williams Driving Layup Shot: Missed Block: Huerter (1 BLK),23,35,2,0,0,0,6,2,1628989,1610612760,1631114,9,4,,1610612760,355000,0,-5
26,1,76,2023-11-11T03:15:03.6000000+00:00,08:43,[OKC] Team Rebound,23,35,1,0,0,0,0,4,,1610612760,0,9,4,,1610612760,358750,0,-5
27,1,37,2023-11-11T03:15:18.1000000+00:00,08:43,Stoppage: Out-of-Bounds,0,-80,0,0,0,0,3,20,,0,0,9,4,,1610612760,360000,0,-5
28,1,38,2023-11-11T03:15:30.1000000+00:00,08:35,[OKC] Gilgeous-Alexander Turnover : Lost Ball (1 TO) Steal:Sabonis (1 ST),98,53,1,0,0,0,2,5,1627734,1610612760,1628983,9,4,,1610612760,370000,0,-5
29,1,40,2023-11-11T03:15:43.8000000+00:00,08:26,[OKC] Dort Foul: Shooting (1 PF) (2 FTA) (R Acosta),4,82,0,0,2,0,2,6,1631165,1610612760,1629652,9,4,1626300,1610612758,390000,0,-5
30,1,42,2023-11-11T03:16:09.1000000+00:00,08:26,[SAC 10-4] Ellis Free Throw 1 of 2 (1 PTS),0,-80,1,0,1,0,11,3,,1610612758,1631165,10,4,,1610612758,410000,1,-6
31,1,43,2023-11-11T03:16:27.4000000+00:00,08:26,[SAC 11-4] Ellis Free Throw 2 of 2 (2 PTS),0,-80,1,0,1,0,12,3,,1610612758,1631165,11,4,,1610612758,420000,1,-7
32,1,44,2023-11-11T03:16:36.7000000+00:00,08:18,[OKC 7-11] Dort 3pt Shot: Made (3 PTS) Assist: Gilgeous-Alexander (1 AST),237,-2,3,0,0,0,1,1,,1610612760,1629652,11,7,1628983,1610612760,430000,3,-4
33,1,46,2023-11-11T03:16:57.8000000+00:00,07:56,[SAC 13-7] Sabonis Cutting Dunk Shot: Made (4 PTS) Assist: Huerter (1 AST),-4,2,2,0,0,0,108,1,,1610612758,1627734,13,7,1628989,1610612758,450000,2,-6
34,1,48,2023-11-11T03:17:10.5000000+00:00,07:43,[OKC] Giddey Hook Bank Shot: Missed,-61,38,2,0,0,0,67,2,,1610612760,1630581,13,7,,1610612760,470000,0,-6
35,1,49,2023-11-11T03:17:13.5000000+00:00,07:40,[OKC] Dort Rebound (Off:1 Def:1),-61,38,1,0,0,0,0,4,,1610612760,1629652,13,7,,1610612760,480000,0,-6
36,1,50,2023-11-11T03:17:20.2000000+00:00,07:34,[OKC 9-13] Holmgren Driving Reverse Layup Shot: Made (2 PTS) Assist: Giddey (1 AST),7,6,2,0,0,0,73,1,,1610612760,1631096,13,9,1630581,1610612760,490000,2,-4
37,1,51,2023-11-11T03:17:26.2000000+00:00,07:28,[SAC] Huerter 3pt Shot: Missed,137,226,3,0,0,0,79,2,,1610612758,1628989,13,9,,1610612758,500000,0,-4
38,1,52,2023-11-11T03:17:26.2000000+00:00,07:28,[OKC] Holmgren Rebound (Off:0 Def:2),137,226,0,0,0,0,0,4,,1610612760,1631096,13,9,,1610612758,510000,0,-4
39,1,53,2023-11-11T03:17:33.7000000+00:00,07:21,[OKC] Gilgeous-Alexander Driving Layup Shot: Missed Block: Sabonis (1 BLK),4,20,2,0,0,0,6,2,1627734,1610612760,1628983,13,9,,1610612760,520000,0,-4
